Date,HostCPUUtilization%_NODE2,AverageActiveSessions_NODE2,MemoryUtilization%_NODE2,CPU,USER_IO,APPLICATION,GC,CONCURRENCY,NETWORK,SYSTEM_IO,ADMIN,CONFIG,CMMIT,SCHEDULER,OTHER,TOTAL
4/28/21 13:00,2.5,0.8,52,0,0,0,0,0,0,0,0,0,0,0,0,0
4/28/21 14:00,2.4,0.7,50,370.3,188.3,0,8.5,0.4,0,12,0,0,0.1,0,27.9,607.5
4/28/21 15:00,2.2,0.7,50,516.6,240.4,0,47.3,0.6,0,13.3,0,0.4,0.1,0,25.3,844
4/28/21 16:00,2.1,0.6,50,597.6,244.4,0,63.2,0.7,0,10.6,0,0.5,0.1,0,24.4,941.5
4/28/21 17:00,3,0.9,50,618.1,187.1,0,32.9,0.4,0,12,0,0,0.2,0,25.4,876.1
4/28/21 18:00,2.1,0.7,50,433.2,234.2,0,10.4,0.3,0,13.6,0,0.1,0.1,0,22.4,714.3
4/28/21 19:00,2.5,0.7,50,520.3,213.5,0,8,0.3,0,15.4,0,0.1,0.1,0,26.5,784.2
4/28/21 20:00,2.5,0.7,50,541.5,196,0,17.8,0.3,0,17.8,0,0.4,0.1,0,22.5,796.4
4/28/21 21:00,2.4,0.8,53,655.6,282.1,0,35.1,0.4,0,9,0,0.1,0.1,0,28.2,1010.6
4/28/21 22:00,2.4,0.7,50,602,203.5,0,34,0.4,0,12.7,0,0.3,0.2,0,23.3,876.4
4/28/21 23:00,1.6,0.5,55,806.9,299.7,0,51.2,1.8,0,15.1,0,0.1,0.1,0,25.2,1200.1
4/29/21 0:00,3.6,1.5,50,3477.7,5126.5,0,158,1.9,0,11.3,0,0.6,0.1,0,37,8813.1
4/29/21 1:00,3.4,1.9,50,4059.3,5675.5,0,246.2,1.2,0,10.7,0,1.9,0.2,0,37.4,10032.4
4/29/21 2:00,3.1,2.1,50,3520,6074.9,0,293.3,1.5,0,12.2,0,0.8,0.1,0,35.2,9938
4/29/21 3:00,3.2,2.1,50,3264.4,6232,0,373.4,1.5,0,19.6,0,0.5,0.1,0,37.7,9929.2
4/29/21 4:00,3,40,50,841.8,594.3,0,117.3,0.8,0,12.7,0,0.4,0.1,0,26.9,1594.3
4/29/21 5:00,2.8,0.8,50,755.9,255.3,0,51.5,0.7,0,14.6,0,0.2,0.2,0,27,1105.4
4/29/21 6:00,2.3,2.2,53,863.2,571.9,0,392.8,664.2,0,25.1,4.1,0.7,0.2,0,709.4,3231.6
4/29/21 7:00,2.1,0.8,52,1033.7,536,0.1,75.4,0.9,0,14.6,0,0.4,0.3,0,22.6,1684
4/29/21 8:00,1.5,0.6,52,662.4,435.9,0,45.6,0.6,0,23.4,0,0.4,0.3,0,23.2,1191.8
4/29/21 9:00,1.2,0.5,50,509.3,453.6,0,71.4,1.3,0,17.6,0,0.8,0.3,0,26.9,1081.2
4/29/21 10:00,1.6,0.6,50,697.2,508.1,0,92,0.9,0,11.7,0,1.5,0.3,0,20.7,1332.4
4/29/21 11:00,2,0.9,50,782.2,566.6,0,108.1,0.9,0,20.1,0,0.4,0.3,0,27.5,1506.1
4/29/21 12:00,1.8,0.7,50,456.5,392.3,0.1,3.3,0.9,0,34.6,0,0,0.3,0,25.7,913.7
4/29/21 13:00,1.8,0.8,50,478.4,622.9,0,33.7,0.4,0,29.6,0,0.1,0.3,0,24.2,1189.6
4/29/21 14:00,1.8,0.8,50,850.5,772,0,136.9,1.4,0,25.2,0,1.9,0.3,0,21,1809.2
4/29/21 15:00,1.8,0.7,53,893.9,555.1,0,95.8,1.3,0,17.7,0,0.6,0.2,0,19.2,1583.8
4/29/21 16:00,1.5,0.5,53,671.5,511.5,0,69.1,1,0,20.5,0,1.9,0.2,0,24.9,1300.6
4/29/21 17:00,2.1,0.8,55,727.6,594.3,0,86.3,0.9,0,14,0,0.4,0.3,0,25.1,1448.9
4/29/21 18:00,2.3,1,55,738.3,470.9,0,93.8,0.8,0,11.7,0,0.4,0.3,0,24.9,1341.1
4/29/21 19:00,1.1,0.5,50,387.1,294.2,0,38.2,0.5,0,15,0,0.2,0.3,0,27.1,762.6
4/29/21 20:00,2.6,0.8,50,607.4,386.6,0,55.8,0.7,0,13.9,0,0.5,0.7,0,27.4,1093
