amzn | BTO | 2022-07-19 13:41:10.987917
aapl | BTO | 2022-07-19 13:41:23.900561
tsla | BTO | 2022-07-19 13:41:35.526145
tqqq | BTO | 2022-07-19 13:41:46.377206
sqqq | STO | 2022-07-19 13:41:56.606566
aapl | STC | 2022-07-19 13:43:15.866294
aapl | STO | 2022-07-19 13:43:21.016106
tsla | STC | 2022-07-19 13:54:26.863093
tsla | STO | 2022-07-19 13:54:31.987324
tsla | BTC | 2022-07-19 13:58:08.042950
tsla | BTO | 2022-07-19 13:58:13.162317
tsla | STC | 2022-07-19 14:00:01.801653
tsla | STO | 2022-07-19 14:00:06.950933
aapl | BTC | 2022-07-19 14:01:45.539027
aapl | BTO | 2022-07-19 14:01:50.693814
aapl | STC | 2022-07-19 14:03:39.061396
aapl | STO | 2022-07-19 14:03:44.195196
aapl | BTC | 2022-07-19 14:17:37.445625
aapl | BTO | 2022-07-19 14:17:42.560476
tqqq | STC | 2022-07-19 14:18:08.195580
tqqq | STO | 2022-07-19 14:18:13.355156
tsla | BTC | 2022-07-19 14:21:59.851508
tsla | BTO | 2022-07-19 14:22:04.992623
aapl | STC | 2022-07-19 14:23:55.853755
aapl | STO | 2022-07-19 14:24:01.066043
tsla | STC | 2022-07-19 14:26:19.622015
tsla | STO | 2022-07-19 14:26:24.767875
amzn | STC | 2022-07-19 14:28:03.448328
amzn | STO | 2022-07-19 14:28:08.569172
tqqq | BTC | 2022-07-19 14:28:49.255969
tqqq | BTO | 2022-07-19 14:28:54.459667
amzn | BTC | 2022-07-19 14:35:45.892571
amzn | BTO | 2022-07-19 14:35:51.013562
tsla | BTC | 2022-07-19 14:53:55.566680
tsla | BTO | 2022-07-19 14:54:00.731012
tqqq | STC | 2022-07-19 15:10:57.598498
tqqq | STO | 2022-07-19 15:11:02.763868
sqqq | BTC | 2022-07-19 15:11:17.721251
sqqq | BTO | 2022-07-19 15:11:22.820937
sqqq | STC | 2022-07-19 15:15:57.298977
sqqq | STO | 2022-07-19 15:16:02.464003
sqqq | BTC | 2022-07-19 15:21:14.448613
sqqq | BTO | 2022-07-19 15:21:19.548721
tqqq | BTC | 2022-07-19 15:26:00.596691
tqqq | BTO | 2022-07-19 15:26:05.698616
amzn | STC | 2022-07-19 15:30:14.300738
amzn | STO | 2022-07-19 15:30:19.430733
tsla | STC | 2022-07-19 15:30:59.167495
tsla | STO | 2022-07-19 15:31:04.313645
amzn | BTC | 2022-07-19 15:35:27.256336
amzn | BTO | 2022-07-19 15:35:32.443811
aapl | BTC | 2022-07-19 15:35:52.565215
aapl | BTO | 2022-07-19 15:35:58.119167
tsla | BTC | 2022-07-19 15:36:19.465053
tsla | BTO | 2022-07-19 15:36:24.576214
tsla | STC | 2022-07-19 15:45:06.478943
tsla | STO | 2022-07-19 15:45:11.614817
tqqq | STC | 2022-07-19 15:45:25.370216
tqqq | STO | 2022-07-19 15:45:30.480869
aapl | STC | 2022-07-19 15:49:10.405255
aapl | STO | 2022-07-19 15:49:15.513591
tsla | BTC | 2022-07-19 15:49:28.038585
tsla | BTO | 2022-07-19 15:49:33.157050
tsla | STC | 2022-07-19 15:54:13.071607
tsla | STO | 2022-07-19 15:54:18.243460
sqqq | STC | 2022-07-19 15:55:06.505324
sqqq | STO | 2022-07-19 15:55:11.659493
tsla | BTC | 2022-07-19 15:57:18.454695
tsla | BTO | 2022-07-19 15:57:23.575618
sqqq | BTC | 2022-07-19 15:58:07.081973
sqqq | BTO | 2022-07-19 15:58:12.183903
amzn | STC | 2022-07-19 15:59:32.796377
amzn | STO | 2022-07-19 15:59:37.917726
amzn | BTC | 2022-07-19 16:02:28.423011
amzn | BTO | 2022-07-19 16:02:33.510538
tsla | STC | 2022-07-19 16:03:18.375781
tsla | STO | 2022-07-19 16:03:23.478225
amzn | STO | 2022-07-20 12:49:30.794283
aapl | STO | 2022-07-20 12:49:49.905109
tsla | STO | 2022-07-20 12:50:06.230738
tqqq | STO | 2022-07-20 12:50:20.332775
sqqq | BTO | 2022-07-20 12:50:34.173568
amzn | BTC | 2022-07-20 12:51:49.031329
amzn | BTO | 2022-07-20 12:51:54.237591
aapl | BTC | 2022-07-20 12:52:09.163033
aapl | BTO | 2022-07-20 12:52:14.273747
sqqq | STC | 2022-07-20 12:57:40.495763
sqqq | STO | 2022-07-20 12:57:45.697830
sqqq | BTC | 2022-07-20 13:02:46.611672
sqqq | BTO | 2022-07-20 13:02:51.703554
tqqq | BTC | 2022-07-20 13:07:18.009503
tqqq | BTO | 2022-07-20 13:07:23.116262
sqqq | STC | 2022-07-20 13:07:38.777408
sqqq | STO | 2022-07-20 13:07:43.921041
tsla | BTC | 2022-07-20 13:16:37.023847
tsla | BTO | 2022-07-20 13:16:42.154174
tqqq | STC | 2022-07-20 13:33:32.146884
tqqq | STO | 2022-07-20 13:33:37.272442
tsla | STC | 2022-07-20 13:36:13.891265
tsla | STO | 2022-07-20 13:36:19.024446
sqqq | BTC | 2022-07-20 13:37:03.365018
sqqq | BTO | 2022-07-20 13:37:08.472297
tsla | BTC | 2022-07-20 13:49:38.258736
tsla | BTO | 2022-07-20 13:49:43.375855
tsla | STC | 2022-07-20 13:53:29.363516
tsla | STO | 2022-07-20 13:53:34.482295
aapl | STC | 2022-07-20 13:56:27.815073
aapl | STO | 2022-07-20 13:56:32.954564
tsla | BTC | 2022-07-20 14:00:14.992481
tsla | BTO | 2022-07-20 14:00:20.204661
tqqq | BTC | 2022-07-20 14:10:12.044235
tqqq | BTO | 2022-07-20 14:10:17.153136
tsla | STC | 2022-07-20 14:17:48.158357
tsla | STO | 2022-07-20 14:17:53.291799
tsla | BTC | 2022-07-20 14:23:05.757072
tsla | BTO | 2022-07-20 14:23:10.878070
tsla | STC | 2022-07-20 14:41:36.411146
tsla | STO | 2022-07-20 14:41:41.530639
tqqq | STC | 2022-07-20 14:42:08.608671
tqqq | STO | 2022-07-20 14:42:13.730693
tsla | BTC | 2022-07-20 14:44:58.307514
tsla | BTO | 2022-07-20 14:45:03.531573
tqqq | BTC | 2022-07-20 14:45:29.476364
tqqq | BTO | 2022-07-20 14:45:34.572546
tqqq | STC | 2022-07-20 14:55:18.839277
tqqq | STO | 2022-07-20 14:55:23.964272
tqqq | BTC | 2022-07-20 14:58:48.426820
tqqq | BTO | 2022-07-20 14:58:53.536277
sqqq | STC | 2022-07-20 14:59:19.936197
sqqq | STO | 2022-07-20 14:59:25.059159
amzn | STC | 2022-07-20 15:00:50.024192
amzn | STO | 2022-07-20 15:00:55.216468
aapl | BTC | 2022-07-20 15:17:55.903157
aapl | BTO | 2022-07-20 15:18:01.003470
aapl | STC | 2022-07-20 15:20:33.302509
aapl | STO | 2022-07-20 15:20:38.422642
tqqq | STC | 2022-07-20 15:23:42.218211
tqqq | STO | 2022-07-20 15:23:47.350071
tqqq | BTC | 2022-07-20 15:26:16.138799
tqqq | BTO | 2022-07-20 15:26:21.226794
tsla | STC | 2022-07-20 15:28:33.173061
tsla | STO | 2022-07-20 15:28:38.320241
aapl | BTC | 2022-07-20 15:35:45.463912
aapl | BTO | 2022-07-20 15:35:50.573179
tsla | BTC | 2022-07-20 15:36:09.030297
tsla | BTO | 2022-07-20 15:36:14.139469
tsla | STC | 2022-07-20 15:43:43.889974
tsla | STO | 2022-07-20 15:43:49.004574
aapl | STC | 2022-07-20 15:46:07.837030
aapl | STO | 2022-07-20 15:46:13.008992
tqqq | STC | 2022-07-20 15:54:46.203185
tqqq | STO | 2022-07-20 15:54:51.327412
amzn | BTC | 2022-07-20 15:56:28.963723
amzn | BTO | 2022-07-20 15:56:34.256724
tqqq | BTC | 2022-07-20 16:00:14.730882
tqqq | BTO | 2022-07-20 16:00:19.828159
sqqq | BTC | 2022-07-20 16:00:37.110438
sqqq | BTO | 2022-07-20 16:00:42.208948
tsla | BTC | 2022-07-20 16:02:39.517967
tsla | BTO | 2022-07-20 16:02:44.629949
amzn | STO | 2022-07-21 11:17:16.024064
aapl | BTO | 2022-07-21 11:17:42.144755
tsla | BTO | 2022-07-21 11:18:07.177752
tqqq | STO | 2022-07-21 11:18:31.692613
sqqq | STO | 2022-07-21 11:18:56.480571
tsla | STC | 2022-07-21 11:21:10.238164
tsla | STO | 2022-07-21 11:21:15.360604
tsla | BTC | 2022-07-21 11:27:20.888572
tsla | BTO | 2022-07-21 11:27:26.013102
sqqq | BTC | 2022-07-21 11:31:24.838026
sqqq | BTO | 2022-07-21 11:31:29.979750
amzn | BTC | 2022-07-21 11:32:54.351224
amzn | BTO | 2022-07-21 11:32:59.461033
tqqq | BTC | 2022-07-21 11:37:38.854301
tqqq | BTO | 2022-07-21 11:37:43.959572
aapl | STC | 2022-07-21 11:43:16.093821
aapl | STO | 2022-07-21 11:43:21.220277
sqqq | STC | 2022-07-21 11:44:46.514836
sqqq | STO | 2022-07-21 11:44:51.637791
tsla | STC | 2022-07-21 12:12:35.545504
tsla | STO | 2022-07-21 12:12:40.650743
sqqq | BTC | 2022-07-21 12:20:57.307827
sqqq | BTO | 2022-07-21 12:21:02.418809
tqqq | STC | 2022-07-21 13:15:26.142950
tqqq | STO | 2022-07-21 13:15:31.294859
amzn | STC | 2022-07-21 13:43:06.597505
amzn | STO | 2022-07-21 13:43:11.729498
amzn | BTC | 2022-07-21 14:01:04.569079
amzn | BTO | 2022-07-21 14:01:13.139919
tsla | BTC | 2022-07-21 14:09:13.259993
tsla | BTO | 2022-07-21 14:09:18.365529
amzn | STC | 2022-07-21 14:18:29.303046
amzn | STO | 2022-07-21 14:18:34.432356
